"country","crimeIndex","pop2020"
"Venezuela","84.3600","28435.9400"
"Papua New Guinea","80.0400","8947.0240"
"South Africa","77.2900","59308.6900"
"Afghanistan","76.9700","38928.3460"
"Honduras","76.6500","9904.6070"
"Trinidad and Tobago","72.4300","1399.4880"
"Brazil","68.3100","212559.4170"
"Guyana","68.1500","786.5520"
"El Salvador","67.8400","6486.2050"
"Syria","67.4200","17500.6580"
"Jamaica","67.2000","2961.1670"
"Namibia","66.1200","2540.9050"
"Angola","65.7400","32866.2720"
"Peru","65.6500","32971.8540"
"Puerto Rico","64.7500","2860.8530"
"Bangladesh","63.8200","164689.3830"
"Nigeria","63.2700","206139.5890"
"Bahamas","62.7400","393.2440"
"Libya","62.2700","6871.2920"
"Argentina","62.2600","45195.7740"
"Kenya","61.7300","53771.2960"
"Dominican Republic","61.0400","10847.9100"
"Fiji","59.5700","896.4450"
"Zimbabwe","58.8600","14862.9240"
"Guatemala","58.5900","17915.5680"
"Malaysia","58.5500","32365.9990"
"Tanzania","57.8000","59734.2180"
"Mongolia","57.4700","3278.2900"
"Uganda","56.1400","45741.0070"
"Bolivia","56.1300","11673.0210"
"Somalia","56.0400","15893.2220"
"Costa Rica","55.5900","5094.1180"
"Colombia","54.9400","50882.8910"
"Kazakhstan","54.8100","18776.7070"
"Maldives","54.6100","540.5440"
"Botswana","53.4700","2351.6270"
"Mexico","53.3100","128932.7530"
"Uruguay","53.0200","3473.7300"
"Ecuador","52.6600","17643.0540"
"Cambodia","52.1800","16718.9650"
"Algeria","50.4100","43851.0440"
"Paraguay","49.6000","7132.5380"
"Chile","49.6000","19116.2010"
"Ethiopia","49.2300","114963.5880"
"Morocco","48.9700","36910.5600"
"Iran","48.9100","83992.9490"
"Ukraine","48.8400","43733.7620"
"Ghana","48.6400","31072.9400"
"Iraq","48","40222.4930"
"United States","47.7000","331002.6510"
"Sweden","47.4300","10099.2650"
"France","47.3700","65273.5110"
"Myanmar","46.9300","54409.8000"
"Egypt","46.6500","102334.4040"
"Vietnam","46.5200","97338.5790"
"Mauritius","46.4100","1271.7680"
"Panama","46.2000","4314.7670"
"Indonesia","46.0600","273523.6150"
"Moldova","46.0300","4033.9630"
"Ireland","45.6800","4937.7860"
"Nicaragua","45.5400","6624.5540"
"Belgium","45.2900","11589.6230"
"Palestine","45.2100","5101.4140"
"United Kingdom","44.5400","67886.0110"
"India","44.4200","1380004.3850"
"Italy","44.2400","60461.8260"
"Pakistan","44.1800","220892.3400"
"Lebanon","44.0700","6825.4450"
"Bosnia and Herzegovina","43.5700","3280.8190"
"Zambia","43.2200","18383.9550"
"Philippines","42.2200","109581.0780"
"New Zealand","42.1900","4822.2330"
"Tunisia","41.6800","11818.6190"
"Australia","41.6700","25499.8840"
"Montenegro","41.5600","628.0660"
"Greece","41.3000","10423.0540"
"Jordan","40.8300","10203.1340"
"Canada","40.6400","37742.1540"
"Russia","40.6000","145934.4620"
"Sri Lanka","40.2300","21413.2490"
"Thailand","40.0100","69799.9780"
"Albania","39.8600","2877.7970"
"Turkey","39.5000","84339.0670"
"Malta","39.3700","441.5430"
"Bulgaria","38.5500","6948.4450"
"Serbia","37.7300","8737.3710"
"Latvia","37.4300","1886.1980"
"Nepal","35.6100","29136.8080"
"Hungary","35.2300","9660.3510"
"Germany","35.1400","83783.9420"
"Norway","34.6200","5421.2410"
"Kuwait","34.5700","4270.5710"
"Lithuania","33.8800","2722.2890"
"Poland","33.1300","37846.6110"
"Luxembourg","32.7500","625.9780"
"Spain","32.3300","46754.7780"
"Azerbaijan","32.1200","10139.1770"
"Cyprus","31.5700","1207.3590"
"Singapore","31.5300","5850.3420"
"China","31.1800","1439323.7760"
"Israel","30.4400","8655.5350"
"Portugal","29.8300","10196.7090"
"Slovakia","29.8100","5459.6420"
"Cuba","29.0200","11326.6160"
"Brunei","28.7500","437.4790"
"Uzbekistan","28.6200","33469.2030"
"Romania","27.8200","19237.6910"
"South Korea","27.3300","51269.1850"
"Netherlands","27.1500","17134.8720"
"Bahrain","26.6800","1701.5750"
"Saudi Arabia","26.6800","34813.8710"
"Denmark","26.0900","5792.2020"
"Finland","25.5300","5540.7200"
"Czech Republic","25.4000","10708.9810"
"Belarus","25.0200","9449.3230"
"Croatia","24.6700","4105.2670"
"Austria","24.4300","9006.3980"
"Iceland","23.7000","341.2430"
"Estonia","23.5600","1326.5350"
"Armenia","22.6900","2963.2430"
"Rwanda","22.0400","12952.2180"
"Japan","21.6700","126476.4610"
"Switzerland","21.5800","8654.6220"
"Isle of Man","21.3200","85.0330"
"Slovenia","20.9500","2078.9380"
"Hong Kong","20.9100","7496.9810"
"Oman","20.6200","5106.6260"
"Georgia","20.5000","3989.1670"
"United Arab Emirates","15.4500","9890.4020"
"Taiwan","15.2800","23816.7750"
"Qatar","11.9000","2881.0530"